WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010,WAP011,WAP012,WAP013,WAP014,x,y
-110.88673571575697,-105.37478705511879,-107.22610602777303,-107.76702114159248,-98.74243721142845,-99.64092823448041,-84.75133343052795,-93.32062281672985,-92.10037608789588,-96.88845824166415,-104.02803831130625,-104.68773732820397,-105.90486612904407,-110.32755878639202,4.7,2.1
-106.16548897556682,-109.94733490916241,-106.42898043360097,-107.21616560650982,-101.16823397072902,-97.60060503574326,-87.59012678875092,-86.38138741597609,-89.6641137549961,-96.84957210777287,-105.54311957745686,-105.96434974633007,-105.8333210745273,-113.24985096804156,4.7,2.1
-106.22271811492043,-108.10374454841659,-105.14216689347828,-103.53085879691801,-100.53522713698312,-94.96686705391451,-85.06679413030992,-88.3926866892523,-88.06858213681446,-100.13569476637295,-104.06385378232336,-102.70183667356429,-104.69747549078811,-107.70707902222168,4.7,2.1
-106.63591547466335,-105.67796903744767,-105.40656153325968,-104.78254036494008,-98.12821196451559,-96.72103205866144,-82.97068853741666,-87.56892471507301,-95.05099545717881,-98.42026143666119,-102.59647312703687,-105.22446308116349,-106.81740454967952,-106.31264952952031,4.7,2.1
-109.5310836690004,-104.67625419879215,-104.01492175706366,-105.17886977355283,-101.66555663936049,-96.69355563926779,-87.39220164236484,-89.0549585470899,-92.22008868408034,-98.02750951366849,-99.51049392247418,-107.24697960181496,-105.48684184889589,-109.871108084257,4.7,2.1
-113.40864337542567,-106.86604494960527,-103.33772853370334,-105.21029556884751,-100.94607226145553,-101.60160689202144,-86.36692745545939,-89.12170817520189,-90.07247042881866,-97.4713724036426,-102.25697782331265,-101.52346009007948,-105.56381927920049,-109.1836173065368,4.7,2.1
-111.417129073361,-109.29564269985985,-107.99579875469468,-101.61155753360876,-99.43305274735492,-94.96202927216402,-85.56315415509508,-89.67683610257835,-91.43856407914124,-92.41545336146056,-100.61421831949987,-107.83835826027911,-110.03874495876204,-111.19033481622631,4.7,2.1
-108.6643783387631,-108.73560354194518,-107.779170281037,-104.28595163853574,-102.5166333382087,-97.06812166302655,-85.6223729517701,-89.8464430516656,-87.78214682934345,-102.57017931001452,-104.72972535064439,-102.57428046138925,-110.20153673994511,-106.97178740900179,4.7,2.1
-110.47892836169359,-109.69482713706208,-110.03808673215909,-103.90271171757108,-101.91260319557702,-96.05243671489978,-83.04442821841087,-88.47298065487733,-92.01616902907406,-102.60085815327392,-103.22968731920754,-106.76634661720713,-111.53973330295153,-108.13346964422718,4.7,2.1
-108.92676481632017,-109.58603223083264,-106.39577627143368,-103.30621222190206,-99.61180755828549,-95.53334598732626,-84.2286640335781,-88.69595148497004,-93.65831164268131,-98.73139634739465,-102.46259066350478,-102.73106895037338,-103.69855705065667,-111.01349970190566,4.7,2.1
-106.9304736652096,-110.8572237665436,-110.31536677319525,-104.71458797726974,-103.81497232185845,-96.09269015001682,-83.29850189995197,-88.96415132579118,-92.50287406867722,-99.19379403852051,-101.71960627200696,-108.85197159609328,-108.70627538224775,-111.54010502928892,4.7,2.1
-109.92086609965546,-106.3875528933353,-106.11732233156467,-105.97482131374969,-101.82239761761525,-95.06751462643587,-84.92266156624234,-89.666327212274,-93.07630082979071,-98.48849585476665,-102.69447717331029,-104.40451675443931,-105.62263469159615,-107.11908111648073,4.7,2.1
-110.57738615686506,-109.05902815746526,-103.44968166238829,-103.4565192595512,-98.91231026108836,-98.1288486261939,-87.94323447136742,-89.25916343489061,-92.10779241708342,-99.63411320764692,-99.23160458673684,-103.02605852996345,-105.01328923805457,-111.88272382878168,4.7,2.1
-111.1695389954148,-109.08262262029126,-109.35116678630348,-103.3499782186374,-100.73046525903708,-99.70123063621969,-85.07691534382819,-90.98456774684378,-91.50492194703763,-99.01012988677773,-101.28967106783175,-104.77890881710535,-105.06453674477429,-106.06141418925674,4.7,1.5
-106.78963436457896,-108.6297040414928,-108.88272872558858,-102.87547648524463,-103.33525740242744,-95.16213615720014,-84.77036688998382,-87.29633453587654,-87.85064356562658,-97.96928833642566,-103.96121490331005,-103.37713513665813,-105.87952496380835,-110.7484487895162,4.7,1.5
-109.09940885447341,-108.75711977438053,-106.49792527219728,-108.54655455112427,-103.24871320589924,-96.3686164650218,-88.3651266404407,-88.16125959601263,-90.43898016884265,-97.1537905884716,-103.89409126562632,-104.17472392577336,-105.34317900802336,-104.90818873268455,4.7,1.5
-111.90736547583364,-108.75966680345732,-106.37459293265856,-101.74910384945578,-102.04115534977859,-97.12945199852105,-85.8422741032385,-90.7467687038727,-86.41430998379961,-96.18687759456198,-106.33231059064502,-104.4501389341707,-105.68727786756372,-111.03482401037598,4.7,1.5
-109.3427712280369,-109.25217670952762,-104.67927466227025,-103.1778314734162,-101.90995564609152,-97.27087462739246,-87.69148859258033,-84.684723170163,-91.50244737288479,-96.90887720592731,-96.57145929183962,-104.56121432514306,-107.19924341298562,-106.01541235138028,4.7,1.5
-110.45613415734024,-102.81137261506943,-101.90579493816944,-103.1038512879946,-102.46277471959465,-97.95297459974846,-84.59444168645307,-84.39806219584942,-88.72732785831751,-95.91216411805777,-100.03613683204256,-106.99886668583581,-111.0907463409905,-108.60361164432248,4.7,1.5
-111.98443484909151,-105.70326062890283,-109.37308554963712,-104.34657540387984,-101.61267362244308,-96.06526959394691,-87.5988235141167,-87.41832909014374,-91.65365317472583,-94.48909701290737,-103.49631887589035,-102.9212631806518,-107.24528657371981,-110.00700455059558,4.7,1.5
-109.07875649933581,-109.26606863066237,-102.34389582549277,-103.61950538197925,-104.9451728774924,-99.36190822028159,-85.6746680582992,-88.41170282491716,-89.63412675552334,-99.63096060491362,-98.25051406529278,-106.16168994567171,-104.27990775432727,-108.23425984346105,4.7,1.5
-108.40862770841932,-112.14401647187864,-106.66490786574875,-103.57913462429161,-102.53320469936996,-94.96918353955658,-85.26208888463917,-88.08298337360362,-92.60103768985118,-93.45215142956911,-102.63249578978481,-104.04622779213858,-104.01074190743914,-105.01436197458132,4.7,1.5
-105.11249397459956,-109.42704540895897,-105.62191612978012,-105.92254547508512,-99.96863152163257,-96.88092044310004,-85.65409263505627,-88.75257831272265,-92.03569871310138,-96.76538995189935,-101.17449112468479,-105.21224841565572,-107.94523598688214,-110.9931215563858,4.7,1.5
-106.77042788325453,-109.93844147967769,-107.20252879068123,-103.54268436894674,-100.17713208763803,-96.3731867248073,-83.5212607529125,-83.82796312138439,-90.26051904492397,-96.73799059955617,-103.90934364215452,-104.84459632619496,-106.05351370857122,-110.43396660711417,4.7,1.5
-109.105937148198,-106.25605172956742,-106.61843816162038,-104.03515633400646,-101.1655374848795,-96.96235798765912,-88.26672610578933,-85.12946500331967,-91.26654022532531,-99.38479528778893,-101.32403666348827,-103.22328418582197,-107.58544756281583,-104.34415343661522,4.7,1.5
-111.2361040360316,-106.05106996119817,-104.89126115607804,-106.60878157345253,-100.1748391938854,-97.04815283541818,-86.05469020283101,-87.96186614363525,-88.21456378512107,-100.20475259183189,-102.457425255295,-102.43968674454992,-108.19226318737284,-112.71759577742691,4.7,1.5
-112.82384358323449,-111.58691043766802,-105.2907925243382,-105.3975836089878,-102.17062943815301,-95.59090707764403,-86.82959938682532,-88.13783355430344,-91.71572630603352,-97.13298517961556,-104.10409429535396,-102.80493777221193,-108.16506248561495,-107.21048151753682,4.7,1.5
-109.83016444062085,-107.97637012144135,-104.17833199915913,-103.09371256920835,-102.3661138287996,-101.56487103371516,-88.70463181375284,-84.27623159664658,-91.10374218802419,-98.31721326340302,-99.91203689467892,-105.45271234588418,-109.0914167860004,-106.9660349075653,4.7,1.5
-112.30563985602234,-108.52656216395971,-104.60240352460463,-100.71747194840239,-104.74040406013403,-94.94963116435069,-88.78572235877725,-87.00754268216264,-95.87792035490718,-96.65703848258617,-100.58655066544772,-105.611519119267,-105.6388444817596,-109.66273091326215,4.7,1.5
-111.29018370002728,-106.44320616980534,-108.07596562667482,-105.18907851063624,-99.71893629217817,-95.3038477195917,-87.69217930355758,-88.3393661340019,-92.24070485723246,-93.55258986023117,-98.65677448886224,-102.78151139997547,-105.86474899836026,-108.00828009120596,4.7,1.5
-106.57341214310766,-108.4201425216894,-106.44931356181401,-104.58962218695709,-100.69552410802561,-96.41498900281569,-82.40316056517456,-88.7642439485679,-89.67456332050926,-97.7723665896892,-102.55234016585416,-106.00016470570252,-109.54164415376448,-109.70260237282017,4.7,1.5
-109.41049628902542,-109.12597889572226,-106.72637690824726,-107.52735639023754,-98.65824311142842,-95.29782125550283,-86.89193332939314,-86.5911190602028,-94.5866524822042,-99.71718662791348,-102.70951623472625,-105.65017105297389,-107.93020884018846,-110.11834304528244,4.7,1.5
-110.2860449954863,-107.00979753139224,-105.22663529732324,-102.82372817854285,-99.70854451885566,-98.95983903844585,-86.25529860835829,-87.29834936759914,-89.9806333330538,-100.14377755870736,-101.42973592502533,-100.14473914044804,-105.51049180310284,-113.26451091513499,4.7,1.5
-109.43225410166545,-109.2464912543671,-104.30708120074193,-105.84951687256462,-102.67461950010734,-97.82849806964497,-88.40308780200444,-87.07769908631438,-92.45144213394111,-96.64078565954894,-100.7903636963934,-106.79290301368435,-107.1844305442917,-109.18905600424915,4.7,1.5
-115.11576811433483,-109.52442847752982,-107.14389453328266,-102.89591570295934,-103.09842673516079,-91.19770107091587,-86.34848183446358,-87.18281287164851,-90.89582739260102,-96.91973880597077,-99.36763048456002,-101.79779321251215,-108.20629209513407,-107.16543730449692,4.7,1.5
-109.16792813289703,-103.34472238093807,-107.32215351891111,-103.82019196987005,-97.78879796282034,-98.91833011537359,-86.63282862706369,-88.87395956532936,-94.5264696352504,-97.90086016138828,-101.47592430004786,-105.23933122328688,-107.74123985210878,-109.0553395204065,4.7,1.5
-112.14324228288379,-106.4561025974332,-113.52102330364289,-106.06678812494582,-98.363140569369,-98.09215428099344,-90.26029116766021,-86.54222165180818,-92.27697754665024,-94.53433088782234,-105.27773033676404,-108.03924784106684,-103.25416033311448,-111.59731390594183,4.7,1.5
-108.96062442268078,-110.85522584604539,-107.16740133621394,-103.23336032473104,-101.10068436221,-94.66656279976101,-86.60075155567029,-84.96644788811881,-91.14692003089934,-95.90610668835,-100.79680507657638,-104.20711726247492,-104.7264119920639,-109.79432053230937,4.7,1.5
-110.59176358289227,-108.71691227321017,-105.84487474385593,-105.3148819737419,-102.17576384448267,-97.42338816331848,-88.33490894990288,-89.01203298594352,-94.40889432337826,-95.58070014197082,-104.74134821570809,-105.28305029487042,-107.11536059357854,-108.14600228269558,4.7,1.5
-107.63078397521589,-108.32743832192872,-105.48495085276575,-105.03300652161623,-102.01650285539837,-96.91289234955485,-85.92603277233724,-83.98359837904458,-93.43405039775232,-97.8456724521596,-102.96323383782843,-104.90014673829029,-104.27580259640293,-108.84918686305278,4.7,1.5
-112.14954918788246,-107.55714504203523,-107.04439968530333,-108.68541694271522,-100.2487474253627,-95.64259565953961,-88.05554337723936,-86.20638065750799,-95.07471482041666,-96.22848346893679,-102.71705795653806,-109.56546479002029,-104.03276018756947,-107.87696603596518,4.7,1.5
-107.61058388526891,-106.5358153098349,-107.40681070254512,-101.59209405794935,-101.11511252721023,-94.69833063277918,-87.92274981879693,-86.2316619858269,-91.82036379560036,-98.37326909245967,-101.62150053747841,-107.05937577940514,-105.51595458272759,-108.2159976775545,4.7,1.5
-109.90977586091174,-108.47956521697827,-107.65523523679428,-107.36431180230117,-103.08734577247573,-96.89288462422063,-85.21008935211623,-89.414527679324,-91.55760048053203,-95.9411589150811,-98.91172435165166,-103.39755323176598,-106.86920937522252,-109.08239511604049,4.7,1.5
-110.49935605541995,-110.13058119301118,-104.19405633368946,-106.0296099116283,-102.17556477332549,-93.6753031063833,-86.86726420686878,-86.46906953615174,-90.71477762586636,-97.470456405665,-100.48976427738509,-105.71847833257065,-104.95687653079818,-106.9859800070772,4.7,1.5
-108.76048007108159,-112.0170039006328,-107.72500659323515,-105.342825242628,-102.74181952553776,-94.58418497854262,-87.58554137216385,-86.1004670470518,-93.63522393504331,-96.60679386251432,-100.85806781433739,-104.13013658334893,-108.60441939718612,-108.83981730084906,4.7,1.5
-108.79746947456098,-108.28683142933002,-111.56123762305336,-107.21537817608603,-103.76242114294371,-94.6486423028549,-87.86458013123034,-88.87899052621415,-90.44242077237095,-100.60339930803848,-101.89593119969423,-104.10427523521082,-107.46330506912878,-111.84896349453203,4.7,1.5
-111.79296318985806,-107.1423836782909,-107.13008081481331,-103.25331123008738,-100.23590829648467,-95.8091075109782,-84.16157430784361,-84.2550450056719,-91.87029120547982,-99.85551637138606,-99.98646991158179,-108.09006337314455,-109.28397351745062,-110.17204316767294,4.7,1.5
-108.06507803412688,-105.9605905727435,-106.7858615223618,-107.5175094992486,-102.2969412482461,-98.30391268835214,-87.08737529432878,-85.68915018277166,-90.44221176183234,-97.9581256109046,-104.79017501877675,-99.885908887848,-108.3220102050187,-105.85444350844193,4.7,1.5
-110.9346211858294,-110.14958300795772,-106.02720732555028,-102.03069979578254,-102.11708633685188,-96.64163892997658,-89.89351181557497,-87.98192399391951,-90.70675714089305,-96.3515829635286,-104.45488063973941,-107.56852077353209,-104.73925324537849,-110.85791597792613,4.7,1.5
-111.72301510410105,-105.31355709278847,-107.35061299106286,-102.54449372944065,-99.34233976070594,-97.86816451024956,-86.05917394280087,-86.92530041423097,-87.55584430458362,-101.4511429849779,-102.22439230407016,-105.03808303122416,-106.28845844300442,-113.39276156654094,4.7,1.5
-113.18360695248711,-109.21358480705197,-107.23073992539369,-103.34684839810672,-99.70860980704518,-99.87392874453401,-89.55740617062088,-88.81174905928296,-85.6136376803494,-99.221519952811,-99.19943664105863,-108.26572771900442,-106.75496698815634,-107.20694246628102,4.7,1.5
-113.86959735445083,-109.83828200111137,-106.08196354777469,-105.00027385145704,-100.8313933941884,-96.38965289779578,-88.15302280884715,-88.23060741740919,-89.38039657117268,-96.3952084389281,-102.35140849293244,-103.01365606386233,-103.88079130000182,-108.10179851045288,4.7,1.5
-110.00099673126172,-108.71800288221874,-103.5632827423415,-105.63129725876394,-103.34259923626372,-96.57806230053541,-86.30522269388122,-88.60958956325581,-92.67148265837969,-97.5218180750058,-99.94149305168573,-102.91899468781197,-104.33389811056131,-109.03161758783506,4.7,1.5
-106.79018024386195,-106.3542422788443,-107.47403263746205,-104.80567141725724,-99.17607223470752,-94.6442148196108,-88.36920334275159,-85.94618622748828,-91.79230065763836,-98.45267299034982,-101.21586306105017,-105.8202815738588,-106.91715318156945,-111.3965410388974,4.7,1.5
-110.45245437736375,-104.14187264789382,-104.41099896815832,-100.30050239866402,-99.69816756576604,-95.03754252769576,-83.67916118377069,-87.47681831530505,-92.36798089341085,-96.4452970391778,-103.40447894107804,-102.09186849441534,-104.96817623494447,-112.05139336199471,4.7,1.5
-107.14440511014271,-103.18330815178722,-107.34130347201368,-107.80028974051909,-101.21861473130636,-96.71973134655781,-86.11250335579689,-87.56079153404629,-93.84654940481701,-102.1300427756548,-104.53659011439838,-103.2360829718764,-106.76460571412684,-110.81381417379225,4.7,1.5
-111.1738789354101,-107.63730310614297,-110.3177276189659,-104.36001988759331,-98.57614659930765,-94.5796419168221,-84.40807773132406,-83.50833628434916,-94.34101993606934,-101.17180950741619,-105.18796390573281,-107.94977643605984,-108.44791863533263,-109.08116421754849,4.7,1.5
-109.0815655820368,-107.93440752090072,-107.28099470023473,-103.47040152000488,-101.44844049465753,-94.71494207754345,-90.2749046376895,-88.82147040906779,-89.38889621221837,-98.58617408700562,-104.48313519207532,-103.33170276734317,-107.01549645311839,-112.86329669350698,4.7,1.5
-109.58280350972089,-105.77164997701955,-107.15470199460162,-105.95244244663407,-99.49649939098555,-96.76680955028078,-83.69314597241629,-88.13511704161635,-91.29543477842918,-94.27987461851455,-101.44125867222235,-108.80093160926134,-105.67647363020608,-105.46652129817,4.7,1.5
-113.34557116426737,-107.21511882882852,-107.89253724640312,-109.23661778656583,-99.63768488352594,-96.19433359166527,-88.41945386632042,-88.5980405311988,-92.16191104428454,-99.77748689205016,-102.03785022493896,-104.63795599717487,-106.02273089997357,-109.23382153127187,4.7,1.5
-108.88581096656105,-107.20191142839725,-110.30708103876543,-104.71598273733439,-101.96326896355266,-98.24526000171626,-88.0821178225329,-85.09718916330887,-90.86743178987606,-93.99611325502354,-100.51928371230491,-102.6383636981855,-107.65983392013213,-109.70522836077967,4.7,1.5
-110.67813467336032,-107.74689733105932,-106.49760188236426,-101.91410649625193,-99.66136596564937,-93.6813734583254,-86.91168774575355,-91.04912793178923,-89.84797573146085,-96.48707972676641,-103.00714529325954,-104.70753274866406,-108.09799252246998,-108.67224426673533,4.7,1.5
-109.24958218485648,-102.78928364264553,-107.0520172103184,-104.9822178424601,-101.11521380033375,-91.78055181059796,-89.52932331663172,-84.63642145370721,-93.22973167318993,-102.94116358957334,-105.19821460830643,-104.28323514654731,-108.2368343965108,-111.25021427981866,4.7,1.5
-111.38017958950218,-105.79485759227556,-110.34649759671808,-104.58448095795606,-99.6893081044001,-96.21922723188209,-88.68166656563452,-85.5291414558775,-93.25955082098174,-99.53090296131654,-101.94083350162602,-103.91831037779201,-110.99261127677988,-108.66604604425825,4.7,1.5
-110.70814950042637,-107.67641441662965,-109.82917568519011,-103.24377525410975,-103.51506391197006,-97.12419674909104,-85.80759134750524,-90.53732229322935,-93.00990828962041,-98.99180316818102,-105.63903935836929,-107.99610697204349,-106.98510952507856,-109.6215388802101,4.7,1.5
-112.50926242545202,-109.66939648566134,-105.66567643445633,-104.78860377491002,-102.80771106541609,-96.14884297916707,-85.88959749156295,-85.54655551642531,-90.49869776619326,-101.02159582523919,-102.32761192910134,-105.28472631702235,-108.01114867773094,-106.86099451877314,4.7,1.5
-108.53784265813383,-108.65632752402809,-108.53394702411117,-103.82752175708788,-100.17470534919472,-94.50011743516794,-83.2042320724771,-89.70359461178596,-90.21446037909487,-94.99341079938922,-99.04674868455551,-101.87252566896187,-107.29019229588671,-106.79861865221862,4.7,1.5
-109.70869602455079,-108.84382360586758,-107.112012396413,-104.7954644423964,-101.2553855527836,-94.80292203243062,-84.33874429794801,-87.36258650931673,-90.19845396194945,-95.39322441748078,-100.96453423544246,-107.74341791523734,-106.3742106603481,-110.67638463065902,4.7,1.5
-111.56595208141553,-109.89430874185823,-108.03091884649123,-103.81330077187893,-98.84723058116282,-94.20556678060925,-84.43389916070495,-90.53488452956665,-91.22164455922783,-96.77747166356264,-101.35108675968617,-102.98745103783621,-108.3751543663191,-106.71004581899143,4.7,1.5
-108.46129300666618,-108.77190916147401,-107.84375220551831,-104.17292213359559,-102.42697239059271,-96.21732176043096,-87.80444433254361,-87.19069845957077,-89.47721219897734,-94.00911907918345,-100.56692098398825,-106.73394482254795,-110.11123750427333,-106.49041984577727,4.7,1.5
-112.85732024361079,-110.2276254459911,-105.8672460764229,-107.30513472520745,-103.11346354600738,-97.81048924112866,-86.29269110031605,-86.0497914796879,-89.04009633302957,-98.36402061182363,-104.47799938601472,-103.47034949244409,-105.10041952432753,-109.55883073706167,4.7,1.5
-112.26277531603597,-107.97123796362403,-106.77993444376303,-104.90409844492301,-102.96117079528231,-94.80278663815508,-83.66864711371251,-83.74951617635828,-96.41456325888525,-98.54337222741084,-104.43902703543989,-104.96971831219174,-106.20950307572504,-107.99449451382725,4.7,1.5
-107.89475511833804,-108.22852277114129,-104.06686973908685,-103.4443743815535,-101.16095061459498,-97.06996994575631,-83.75360475411098,-85.98423929685057,-94.13447800919003,-100.48712798700247,-103.47112971887212,-101.36515970061284,-107.5468047018403,-108.32987209196892,4.7,1.5
-108.63698898244883,-109.99286174406177,-110.96118880979992,-104.31332449891556,-101.57726389002961,-96.09723137404626,-87.02999353882441,-85.50884747267342,-88.44629950362294,-94.16234541038139,-98.75299343902569,-104.65822939548374,-107.3408037074825,-114.56342023031678,4.7,1.5
-112.72001234291014,-109.82303315686238,-105.11068514812267,-104.02780772159825,-102.83566824756673,-95.33813256311535,-84.69309092071543,-86.23754985094317,-92.59994562726942,-98.78789233000428,-99.98871180812303,-103.53464056943156,-105.46261101528286,-110.22429592494626,4.7,1.5
-111.69282245531019,-107.61913329020925,-105.96861939243941,-105.96385685264237,-104.78757599811988,-92.77680250672347,-87.74739760867197,-88.13102513010512,-88.3753038318162,-94.3407604741916,-101.79593804973044,-106.36614236142738,-106.33608884524578,-109.79890966875027,4.7,1.5
-108.0861698808618,-106.85883548476751,-103.12315187023152,-104.72659730813251,-100.26174876256619,-94.22796390897538,-85.7490386556514,-86.59710906278407,-88.19499136080809,-98.03266243136736,-101.02056543924537,-105.44763376585286,-106.37751751711993,-107.16137617781,4.7,1.5
-110.35815930745426,-112.15338880033983,-105.0139858760745,-104.91608660400045,-100.46602061750104,-98.37371334506989,-84.22031222167884,-86.1746696706033,-92.17445815233171,-98.43753196726347,-105.74246233412751,-102.78897053632568,-106.47624741659988,-108.08593641732733,4.7,1.5
-110.89519070567277,-111.43444695596403,-106.7957846400119,-107.39490735621703,-101.22697344360718,-97.68508796285303,-87.50366447199994,-90.02127433609992,-89.55176758036251,-98.76055906619197,-102.54071251516652,-107.65463501267975,-103.75943247520253,-107.83610371887605,4.7,1.5
-108.02809463812514,-108.38845089058591,-107.41584481327396,-103.97597672095038,-99.36390695229795,-97.35329871245315,-85.92267564757925,-85.41006558523705,-89.87631190976056,-100.3451253909795,-101.88436931735566,-100.78948426402707,-106.07450138658531,-109.28405371926345,4.7,1.5
-110.9670101041003,-108.95341694845706,-106.96823093221447,-103.68629458776341,-102.2599027828077,-94.41736564630949,-85.63922454928993,-88.65396874527084,-88.39687314365358,-99.77016733558287,-101.14292697517416,-103.71916441802263,-106.20087499271612,-107.52427798228912,4.7,1.5
-113.1439166984108,-105.22831614425417,-104.02800648652953,-104.56860126204138,-103.27237403894249,-98.42752126875007,-87.94434911885575,-88.3225391099349,-93.10108474014116,-99.03604477997254,-102.04770075941572,-102.28373162336467,-107.28355698017835,-107.55113151425022,4.7,1.5
-111.45110445341652,-106.70933483180517,-111.65732306190742,-104.61778246645457,-100.29661625315508,-97.70205209093542,-90.59646064898271,-88.93773226283162,-91.90684626285986,-96.5560879379423,-102.21657739133838,-103.38276242509316,-108.4417368719418,-109.95319592754046,4.7,1.5
-108.42347122368193,-108.49879539789896,-106.5816068473904,-101.84912171706864,-98.70828059654873,-96.61007945496007,-88.96390944944132,-87.29262100003056,-88.30604230175399,-98.65679773675107,-99.97787257328004,-104.55288025921361,-103.98116348420132,-110.6394531027575,4.7,0.9
-107.51027421109823,-110.88364890182368,-108.13467691117734,-100.93478845101791,-102.30904610493344,-97.91526853045754,-91.34799889718361,-84.59682379001089,-89.81460849721147,-96.99768706139147,-101.6728590600262,-103.29086352084045,-107.41216487779597,-108.27086208903663,4.7,0.9
-111.88985497023984,-110.02938455907082,-106.54820153943551,-106.30182260375003,-100.32986610195974,-94.42362525522253,-90.423691793456,-86.23186975620918,-91.30957794240443,-96.27734289361726,-101.349364305089,-108.02301824789555,-108.09997807174432,-108.35496543189589,4.7,0.9
-110.19597493761293,-108.54087812316882,-103.84232605257827,-103.13273336161286,-96.56724025972416,-97.1435835580495,-87.07262001540954,-83.80268857973151,-88.06303636392269,-96.5879048947285,-100.96595431616097,-106.61168986128875,-108.23681961989035,-110.16905332567364,4.7,0.9
-109.8412385737677,-108.42415071960971,-107.99852284657436,-102.4963584350685,-98.88284827547352,-93.19468276714078,-86.84017217626968,-87.51743051644627,-90.90743339226873,-98.35514945892942,-103.35111431937824,-104.10206799225286,-109.94525412206909,-107.62369812783697,4.7,0.9
